Texture,Moisture (%),Organic Matter (%),pH,Electrical Conductivity (dS/m),Soil Quality,Industrial Use
Loamy,17.169811747575753,1.8396569775648484,7.9210474354166465,0.18119329257671385,Bad,Not Suitable
Clayey,23.55587364647439,3.5915877737526305,6.7124394786948045,0.9194988259038455,Good,Brick Manufacturing
Clayey,29.085758296374983,3.849832170990668,7.789197212138484,0.5562841161009708,Good,Biogas Production
Clayey,11.6655756369172,4.610644896124244,6.142464898596422,1.5785557216406445,Bad,Not Suitable
Sandy Loam,22.773571342082274,2.4670510589625945,7.5886828616232815,1.4098871844784868,Bad,Not Suitable
Loamy,25.039443947482727,1.0237109682719656,7.798242414720377,1.4595794508307685,Bad,Not Suitable
Clayey,15.412886113691439,3.627756653824016,7.254834855375015,0.8641399786835896,Good,Biogas Production
Sandy,24.570300950300886,3.2926167772802004,6.769695201283877,1.1204178609788658,Bad,Not Suitable
Sandy Loam,22.725042093255734,1.6359131299137921,6.731137614696241,0.9338383402673481,Bad,Not Suitable
Sandy,27.467154341147758,2.346946791497971,7.458682469599141,0.8032785598061652,Bad,Not Suitable
Sandy Loam,27.359897975489712,3.171390968240705,6.1767962692663465,1.0054463272784437,Bad,Not Suitable
Loamy,28.993405177734886,4.8284961173922465,7.373424784749071,0.6103669872208981,Good,Land Reclamation
Clayey,18.228498310348705,2.014549359740353,6.181740657413718,1.1553358314907651,Bad,Not Suitable
Sandy Loam,16.603807848334107,3.498185218169151,6.51041307576932,1.9424239702812909,Bad,Not Suitable
Loamy,26.693430616229527,1.5177356447345036,6.633937376041833,0.36054144099686825,Bad,Not Suitable
Sandy Loam,12.271667777917663,3.5112886462580652,7.103940847831033,1.75080075378901,Bad,Not Suitable
Loamy,28.033588771185727,1.6079621306537466,7.067537363827522,0.3128802793391783,Bad,Not Suitable
Sandy Loam,28.41890881388745,4.86833278802435,6.762681404357109,0.9692709985934346,Bad,Not Suitable
Clayey,21.561326999341134,1.367415413438227,7.018745257342444,1.747547195404088,Good,Brick Manufacturing
Loamy,21.66238613958639,2.229772995671018,5.506220504664932,0.2498254812822164,Bad,Not Suitable
Sandy,17.076851457265942,1.0078959747791432,7.502481967683938,0.5789777780664964,Bad,Not Suitable
Loamy,15.143732978395658,3.9429838437716107,6.176736227342917,1.3418910387267213,Good,Land Reclamation
Clayey,29.436326816767078,2.8692098896854263,6.007860911058832,1.9526553204327275,Good,Brick Manufacturing
Sandy,26.16814319687937,2.97714637740322,6.052025082039087,0.11782214947821706,Bad,Not Suitable
Sandy,27.186724019832337,4.494000183330829,6.556474299869146,1.4654735419883167,Bad,Not Suitable
Clayey,26.270125697500667,3.319823251698353,7.010504146558958,1.9436502423885196,Good,Brick Manufacturing
Sandy,10.249867199277233,3.171680919353865,7.262211415298153,0.4059283742007088,Bad,Not Suitable
Loamy,23.306552297642703,4.8068970471270775,6.345944314556007,1.9778406623338265,Good,Land Reclamation
Clayey,17.73024257844114,4.90585929554374,7.477124415725658,0.3958241581132468,Good,Biogas Production
Loamy,27.30677049650626,2.652353830073798,7.36912410217866,0.5358240297693124,Good,Land Reclamation
Clayey,16.941116873064654,1.1346289158828191,6.693896571298259,1.2259921280680248,Bad,Not Suitable
Loamy,17.325278825249914,1.3116755915983282,6.784850530052454,1.3347252516555586,Bad,Not Suitable
Loamy,17.386800466206786,1.1174762434374763,6.222223919200402,1.308301050599457,Bad,Not Suitable
Clayey,23.724671338624297,2.108001392192078,6.798207833979482,0.32804512883882697,Good,Brick Manufacturing
Loamy,10.880273073523718,3.479263839017364,6.76166146748452,0.40542777996656154,Good,Land Reclamation
Sandy,19.52025881115144,4.0935237849684,6.498818053473164,1.156218970547281,Bad,Not Suitable
Sandy,14.079621176962718,1.3482377778648105,7.7187442135782725,1.029043643987351,Bad,Not Suitable
Sandy Loam,11.392027987816745,3.4023482684700492,6.505752446166185,1.7779492836048922,Average,Glass Making
Sandy Loam,21.531325169953302,3.1010229939471254,7.7921928034264205,1.0850490693030486,Bad,Not Suitable
Clayey,16.24526597725929,4.545507920886939,5.586682354188835,1.7929860308631143,Bad,Not Suitable
Loamy,13.281312635626424,3.812404975421804,7.470994503641325,1.54379589322462,Good,Land Reclamation
Sandy Loam,23.310321802277464,1.7968958405162363,7.555805003904059,1.7460513199243304,Bad,Not Suitable
Loamy,26.435511984660817,3.4223421788878627,5.659050922417681,1.8677874049481251,Bad,Not Suitable
Sandy Loam,14.999800564794082,1.3205313701508277,6.709309257805177,0.5082425282030361,Average,Glass Making
Clayey,14.621597611371659,4.716884909820614,6.184102715807742,0.16924052850236282,Bad,Not Suitable
Clayey,28.91056535824015,3.0767339378537284,7.247374749484591,1.9984723743362605,Good,Brick Manufacturing
Loamy,27.48437067707877,1.7753826661815904,7.15907189680609,0.5752071397346155,Bad,Not Suitable
Sandy Loam,17.82426639656137,2.839453114619855,6.155098974402655,0.24850747665681192,Bad,Not Suitable
Clayey,25.577901614184487,4.706146401138337,6.846430161557041,1.3746013530688508,Good,Brick Manufacturing
Clayey,24.51861533238398,1.8774605048912694,7.8013031457135895,1.3221105004685352,Bad,Not Suitable
Sandy Loam,25.996713799611125,2.3558156142698294,7.743426997121979,1.8770977863825002,Bad,Not Suitable
Clayey,24.146612240949015,1.3576709211853228,7.323342738662598,1.2510656958169513,Good,Brick Manufacturing
Loamy,18.999411558075863,1.3354572373996203,6.459841580941332,1.4703760867653686,Bad,Not Suitable
Sandy,11.382142206499848,4.30278658533844,7.7035047551282325,0.49369645440114795,Bad,Not Suitable
Loamy,29.737998255622628,4.322508105254544,7.699450054928302,0.888142627496973,Good,Biogas Production
Loamy,16.925583959337917,1.6306441486184902,7.871213727286694,1.3582715907637302,Bad,Not Suitable
Clayey,22.002912585838928,3.967288667012851,6.174319019829715,1.1401893957125993,Good,Brick Manufacturing
Sandy,18.71735446846329,4.33188742129032,6.499601563887669,1.9252578565602967,Bad,Not Suitable
Sandy,23.835826426838196,3.136306402070733,7.731813487695247,1.0117017168832831,Bad,Not Suitable
Sandy,23.50833015328015,1.3977018184641623,6.214192775535388,1.0680042851961555,Bad,Not Suitable
Sandy,21.767647980433214,3.460196916155409,6.957156258718932,1.411037538675923,Bad,Not Suitable
Clayey,17.40699257539496,3.853466968463207,7.938964832023503,0.7996174623659051,Good,Biogas Production
Loamy,28.089105717265895,3.5427192469105595,5.807268490761325,1.8991352442507796,Bad,Not Suitable
Clayey,16.656803596949246,3.35875395338807,7.8668038100291175,0.5347296291615712,Good,Biogas Production
Sandy,17.194668687936474,1.6394401953125906,6.234420589196029,0.8465494402060224,Bad,Not Suitable
Sandy Loam,12.11719017,4.52758801395642,7.0722353637374,1.104215388117212,Bad,Not Suitable
Loamy,12.369350750786662,1.1714541514830543,5.625713800201701,1.3935082390534375,Bad,Not Suitable
Sandy Loam,22.42445165562011,4.132384885700417,6.2325435217878,0.32276052434818814,Bad,Not Suitable
Sandy Loam,11.38556870612399,2.175481474186717,7.6292723943949206,1.289540999448295,Bad,Not Suitable
Loamy,13.742930304820995,1.9657579480336067,5.679573535133239,1.38011086998189,Bad,Not Suitable
Clayey,12.521805350936138,2.360234395181344,7.642212260247382,1.1875996510937592,Bad,Not Suitable
Sandy Loam,13.03350908116714,2.971236875259049,6.6929233608433805,1.4024723139832118,Average,Glass Making
Clayey,20.06465806070267,4.550587308991593,7.134739886076787,1.634390436602014,Good,Brick Manufacturing
Clayey,19.327772027619652,1.0312171470950942,7.608027836215303,0.7455249916868056,Bad,Not Suitable
Sandy Loam,19.75052008913068,4.125428376559956,6.634642692522857,0.48047972928042326,Bad,Not Suitable
Loamy,25.123552555398796,3.47695601514644,6.652363090736046,0.3639496479578914,Good,Land Reclamation
Clayey,15.437119764047207,2.245890979375092,5.555665093613903,1.7772490505892402,Bad,Not Suitable
Loamy,15.286187917412002,2.639551649462855,6.020742858194013,1.3771294245281416,Good,Land Reclamation
Loamy,22.401279763054838,4.88110135788993,5.5082392715553965,1.2216887441498783,Bad,Not Suitable
Sandy Loam,27.40786451966743,2.5072750478719885,6.756663672199583,1.9988016921484222,Bad,Not Suitable
Sandy Loam,22.86362589808713,3.450489597558522,7.774784480502827,0.18979096570174017,Bad,Not Suitable
Sandy,25.899643234929265,2.6791125221021606,5.717373746823039,0.8468767988903607,Bad,Not Suitable
Clayey,27.08451636773982,4.265364294703685,6.379935837098881,1.2933397557883097,Good,Brick Manufacturing
Loamy,23.16658854002668,4.07722877271738,7.662588349513549,0.5830922188316863,Good,Biogas Production
Sandy Loam,14.370718694560363,1.5412446198452678,6.8045961528458445,1.8237321804979079,Average,Glass Making
Loamy,24.10129585586613,4.796674454179114,6.232944188870814,1.9305493856405418,Good,Land Reclamation
Sandy,15.816077395733378,1.746030918864533,6.208436118376257,0.35652377513917877,Bad,Not Suitable
Sandy,20.015206346412437,3.002012615493959,7.762478385281665,0.6249979976028766,Bad,Not Suitable
Sandy,25.14259551527255,2.2008939683073034,6.9465410791530795,1.9195793040212528,Bad,Not Suitable
Clayey,10.9135703118445,3.775673516662398,7.712682399804056,1.4062948827373307,Good,Biogas Production
Sandy,27.640398653902988,2.716327351852582,6.556313905643764,0.5126087832456386,Bad,Not Suitable
Loamy,14.691366982820998,3.8558131017519823,7.103958910483082,0.20420434472421983,Good,Land Reclamation
Sandy,26.028001878821648,3.675794108815989,6.544550896600155,0.2894627508269037,Bad,Not Suitable
Loamy,11.288083895060439,1.2906361221203277,6.350162108834436,0.10933786789241244,Bad,Not Suitable
Loamy,26.494377937341387,1.2037526430049748,5.829013542506357,0.9496752102848722,Bad,Not Suitable
Clayey,20.746308799656063,4.568159374872431,6.939957138013934,0.4350154475296908,Good,Brick Manufacturing
Loamy,24.72797271399314,1.5406301067497945,6.241846231112275,0.6868943000482878,Bad,Not Suitable
Sandy Loam,13.28622272088924,2.517967623804227,7.860199139567333,1.977776582415086,Bad,Not Suitable
Sandy,23.652655140251046,3.820038414875352,6.428605353387789,0.930744097750794,Bad,Not Suitable
Sandy,24.518453845382126,2.4719497752986217,7.568798168726321,1.2708931160022578,Bad,Not Suitable
Sandy Loam,17.200462520327793,1.7547692364977259,7.89150853608667,1.5244590200522734,Bad,Not Suitable
Sandy Loam,28.26927964773192,2.4943547094221774,6.052939791019133,1.2484769356236385,Bad,Not Suitable
Clayey,27.526866867298942,3.6886099174288716,5.778022363869809,1.0944987205437346,Bad,Not Suitable
Sandy,26.563323937893596,4.138818691771418,7.417060785391846,1.2479216198181116,Bad,Not Suitable
Sandy Loam,21.59254167586395,1.7493549420610104,6.998348089371625,1.0506742307879298,Bad,Not Suitable
Clayey,17.19221038736015,4.779147790992286,7.2376426156977525,1.1578556013261379,Good,Biogas Production
Loamy,18.54796242474702,1.1481716268660955,7.237820430424357,1.6610222983926157,Bad,Not Suitable
Sandy,27.50233476030771,2.2695875058117676,6.5083383730634115,0.7019203173639752,Bad,Not Suitable
Sandy,16.5934722942703,3.2332119763637897,5.882293502680285,1.0987311222526515,Bad,Not Suitable
Sandy Loam,29.516179568442553,1.5490823078812386,7.927822548665308,1.7855100036352918,Bad,Not Suitable
Loamy,28.222339220225045,2.581960266741031,5.519347713846669,1.8320557418328616,Bad,Not Suitable
Loamy,19.093800112724885,4.2263404597060035,5.794881707105681,1.3666028864663242,Bad,Not Suitable
Loamy,23.25118992467084,3.691828330581787,7.811462896305725,1.5789839413187121,Good,Biogas Production
Clayey,13.443428321815619,2.073046355355158,7.4855038905569105,1.244228005341734,Bad,Not Suitable
Loamy,11.963571194644167,1.304674450071197,6.005334438086274,1.8915951810540645,Bad,Not Suitable
Loamy,13.013342274752697,2.5067518700650258,6.739252131719507,1.895423425411367,Good,Land Reclamation
Sandy,23.41519960560195,3.168131966948769,5.705493491954747,0.754704270166158,Bad,Not Suitable
Loamy,22.643873313139174,3.824189095328861,6.626150837245225,0.32854144974058413,Good,Land Reclamation
Sandy,15.980965022504002,1.511545218330618,5.855788099069863,1.1930318809018459,Bad,Not Suitable
Loamy,23.205114773224516,2.152720990178653,7.8230850531152285,1.706052142767686,Bad,Not Suitable
Clayey,28.782082831226624,3.1831714972482725,5.963935293214276,1.2197872053050118,Bad,Not Suitable
Loamy,25.40693502862886,1.6477015867457925,6.287158771825536,0.20648853681290213,Bad,Not Suitable
Sandy Loam,20.796403664129976,1.5274860218340582,5.8162196972779725,1.445526363384391,Bad,Not Suitable
Loamy,19.551196747738906,1.04425027457276,7.043627969662602,1.46242589412761,Bad,Not Suitable
Clayey,16.356524591991082,1.7772237841463947,6.064642808092617,1.2283952985077045,Bad,Not Suitable
Clayey,13.818481854963418,1.6560692206081136,7.841475002110369,0.32578263196632967,Bad,Not Suitable
Sandy,12.450338195869808,3.07606947349492,5.797214617792939,0.45307282884173483,Bad,Not Suitable
Sandy,29.789590788396268,4.253814406948406,5.98972750007624,0.8366914058075687,Bad,Not Suitable
Sandy Loam,20.193380521815026,3.873257013477785,6.414615741882408,0.8975875264278094,Bad,Not Suitable
Sandy Loam,11.601786975782069,1.7330151365378668,7.076612703248126,1.2402564958497142,Bad,Not Suitable
Sandy,10.309974106683184,1.1449726112226766,5.605381574955422,1.882201552570808,Bad,Not Suitable
Clayey,26.684196115443473,1.082480616744316,6.192177539442469,1.6142431470451326,Good,Brick Manufacturing
Sandy Loam,10.8043273264746,3.974447414113582,7.437731381007799,1.8652289100765025,Bad,Not Suitable
Sandy Loam,16.711910786734855,1.1984647363877348,6.0622074748339125,1.0926258626322047,Bad,Not Suitable
Sandy Loam,15.837886135065546,2.6927403743100586,5.757211988404096,0.50704847331425,Bad,Not Suitable
Sandy Loam,13.284049251814851,1.134403612205285,7.538527108960029,1.3234796872051777,Bad,Not Suitable
Sandy Loam,10.579720753446582,1.9862771567840811,7.834058878854777,1.1513336041283095,Bad,Not Suitable
Sandy,21.197143887372324,4.9794373104274525,7.231576883627022,0.4246719435316725,Bad,Not Suitable
Sandy,19.817626506429548,4.974653795575371,6.588826252171494,0.9669480239504084,Bad,Not Suitable
Clayey,11.951556202664682,4.803087948588953,7.535023211405228,0.28266894959158967,Good,Biogas Production
Sandy,22.959121077726792,2.4494519281482665,6.777725647056638,1.005289760583759,Bad,Not Suitable
Loamy,20.153581448459676,3.0678573925041346,6.084954970166982,1.7772698341120423,Good,Land Reclamation
Clayey,14.293565100042047,3.044185596267832,7.129571837862603,0.8218177918643559,Good,Biogas Production
Sandy Loam,24.943469549874155,2.187771772352472,6.67810643657956,1.848703812322782,Bad,Not Suitable
Sandy,21.41111247416088,3.77367940925147,7.884825440712193,1.8016294445555718,Bad,Not Suitable
Sandy,24.5257583322944,4.979850709234309,7.293432555598986,1.091421047735709,Bad,Not Suitable
Sandy Loam,17.25971415012758,2.1695909609201856,6.503902556733848,1.8463318566642968,Bad,Not Suitable
Sandy Loam,27.757761978227904,3.258876339406856,6.914305539538449,1.128713086906161,Bad,Not Suitable
Sandy,25.278593430285724,1.0860872002715332,6.242452403619017,1.6269988104823445,Bad,Not Suitable
Clayey,10.40278326971735,1.47432991864732,7.3210194607724,1.5725771905667547,Bad,Not Suitable
Sandy Loam,11.3154645940671,3.6482060002294974,5.516234070202098,0.5392587059267271,Bad,Not Suitable
Sandy,24.94211722888422,2.7050332693410786,7.166317856718917,1.346115552725162,Bad,Not Suitable
Loamy,17.90792982192363,2.9126361549736175,7.261593365161293,1.7980932127433196,Good,Land Reclamation
Sandy,24.276468742938018,2.8685806002982503,5.6183160723789145,0.4739917529114812,Bad,Not Suitable
Sandy,10.854503265905699,2.1273034122150394,5.503579293215092,0.776868546166244,Bad,Not Suitable
Clayey,18.752397519406927,4.334536496958908,6.378170497234609,1.374072003525872,Bad,Not Suitable
Sandy,19.252005289863902,4.769959758779644,7.113786604300353,0.7422851101676619,Bad,Not Suitable
Clayey,18.43806683732909,4.703143481755891,6.120989057076348,1.7257682690121052,Bad,Not Suitable
Clayey,24.05361429342456,3.375227907674277,7.634256668150959,1.0961704647744168,Good,Biogas Production
Clayey,23.710792512678786,1.093237325099059,5.567478193495899,0.23444615514348027,Bad,Not Suitable
Sandy Loam,26.837564403384267,3.482400806925201,6.063486619049293,1.7410669462506791,Bad,Not Suitable
Loamy,14.896052159044384,4.689246488334133,7.722421165378992,1.9984314572144863,Good,Biogas Production
Sandy Loam,11.890041912765028,4.34843250811943,7.355888621745403,1.5783844478373081,Bad,Not Suitable
Loamy,15.122015995172012,4.907768057748421,6.346203653943899,0.32077834417920814,Good,Land Reclamation
Sandy Loam,26.541070859264956,4.070432158696347,6.862527511958669,0.3317122754418529,Bad,Not Suitable
Sandy Loam,14.54510479405614,3.909186111044572,5.715376927662291,1.7123272401540004,Bad,Not Suitable
Sandy Loam,22.164718213312042,1.9563454663902622,7.008900804934951,0.27933648854985804,Bad,Not Suitable
Loamy,29.148591012624074,3.155453005303872,6.516464475660478,1.9388909316449379,Good,Land Reclamation
Loamy,22.78669717340044,4.0346274915758755,7.722467078709402,0.49660643605354426,Good,Biogas Production
Clayey,22.310315681580665,1.7470065490498095,7.911077128062814,0.41129538622146977,Bad,Not Suitable
Sandy,13.301353819199676,4.7462756242749755,6.530372861592934,0.6174165552755345,Good,Construction
Loamy,25.830322687090398,4.340771672977388,6.19091021960403,0.7220762020072446,Good,Land Reclamation
Sandy,18.141780859209515,4.878714882121417,7.155697393077898,0.5754466370074056,Bad,Not Suitable
Loamy,24.406113265066516,1.799558485203884,6.0572284306572595,0.2883210453883718,Bad,Not Suitable
Sandy Loam,20.736044951840192,1.718620537709421,6.109753411689164,0.20116728541630208,Bad,Not Suitable
Sandy,24.01449601629693,2.163121896761236,6.009478629258588,0.917682462710515,Bad,Not Suitable
Loamy,25.7307398562884,1.6413725802081611,5.939590466030644,1.5405246078244799,Bad,Not Suitable
Sandy,23.77547936404622,3.453527938288982,7.485126247012081,0.2528504542254168,Bad,Not Suitable
Loamy,23.05598958629427,2.8532219925653646,6.162361593761265,0.2494937686572588,Good,Land Reclamation
Loamy,17.470812330351087,3.5427678123254576,6.684965415431039,1.2688537176959847,Good,Land Reclamation
Sandy,15.29490021810532,2.6915475717075505,7.8726378666053165,0.5238585724646004,Bad,Not Suitable
Sandy,14.65259067235702,4.506053219335266,7.694471359182749,0.15177200696239695,Bad,Not Suitable
Sandy,27.864083477224767,1.0435360927315185,6.4447265440161114,0.2619328484167973,Bad,Not Suitable
Sandy Loam,16.541247797786237,1.428729113537265,6.952563445372454,0.38475045827815724,Bad,Not Suitable
Sandy Loam,10.36698287973616,4.583501991776721,7.84533470611017,0.8826752430717368,Bad,Not Suitable
Loamy,15.086379512737132,3.945227682315286,5.778021496116516,0.40468371932224045,Bad,Not Suitable
Sandy,20.358343307506708,1.613677875983151,5.766091339393001,0.21210274472667373,Bad,Not Suitable
Clayey,18.650194868871903,2.052417086110493,6.515926433601148,0.5953473664523518,Bad,Not Suitable
Sandy,26.372860035853552,3.142383629336736,6.940880483539166,1.0022543994735833,Bad,Not Suitable
Sandy Loam,14.120143768237925,3.4424407365555107,7.9275777219329155,0.10989027927840274,Bad,Not Suitable
Clayey,11.02301064251172,2.065796562847309,6.385121376112458,1.3975949950912527,Bad,Not Suitable
Sandy Loam,19.065560392015172,4.93250729607008,6.125247399956108,1.6202532086081427,Bad,Not Suitable
Clayey,23.051655639225665,4.58950663476543,7.175873765079605,1.4834633831407185,Good,Brick Manufacturing
Sandy,24.602987060457906,4.813903135292092,6.394213847944116,0.6953262383948999,Bad,Not Suitable
Clayey,23.812732962796158,1.3499542351872953,6.253578988350071,0.2227488145486595,Good,Brick Manufacturing
Sandy,10.928667219346764,3.539235298752978,5.839232638565966,0.9404350413273036,Bad,Not Suitable
Sandy,11.002434344273963,2.938618861226721,6.526441770043333,1.014159898418662,Good,Construction
Clayey,29.08528097886109,4.198942372734132,6.975726899418354,1.1403592951541872,Good,Brick Manufacturing
Loamy,25.27423131338807,1.7720752437846135,7.3323404944211745,1.1985966692871735,Bad,Not Suitable
Sandy Loam,27.694487197280452,1.5499659507435828,5.660974065925005,0.15931694074465447,Bad,Not Suitable
Sandy Loam,16.18113254942543,4.325570122085997,5.667560885191465,1.29908828389226,Bad,Not Suitable
Sandy Loam,13.57646422485818,2.7634673399544236,5.900537785384042,1.7536833188612817,Bad,Not Suitable
Sandy Loam,24.149741105926896,3.6878807989575897,7.506837344662188,1.712706379024116,Bad,Not Suitable
Sandy,13.215726734034032,2.6738385700208265,5.716041814586354,1.507348794970805,Bad,Not Suitable
Sandy,12.091694319314858,3.959492495311117,6.613960601584057,0.7256901870437827,Good,Construction
Loamy,20.188713309596555,2.7678326548818104,6.830481080997659,0.9305984463616589,Good,Land Reclamation
Sandy Loam,21.054980109605754,1.8170472868119352,5.845819727546926,0.9127874832012227,Bad,Not Suitable
Sandy Loam,29.398107821592706,4.511579909393078,5.949950891340578,1.3259666615792405,Bad,Not Suitable
Sandy Loam,20.707035343934482,1.0218060462366876,6.01211948007362,1.6373600033750644,Bad,Not Suitable
Sandy,22.688524633221608,1.353052916730376,5.726164588476319,1.4255636802994163,Bad,Not Suitable
Clayey,21.274663631485517,4.6519539501558835,7.992379052546291,1.1645963966693793,Good,Biogas Production
Clayey,18.788792241238074,3.163362081722056,7.624539881707998,1.7878638291563806,Good,Biogas Production
Loamy,13.884864831397554,1.5672417271398156,7.465648910410081,0.2737568443550907,Bad,Not Suitable
Sandy,24.61780120830597,2.2781390560197936,7.844756229972978,0.40048926343608904,Bad,Not Suitable
Clayey,10.336304647427726,4.74111253687801,6.978406289870022,0.6865217474210702,Good,Biogas Production
Sandy Loam,16.388540195585364,2.7567708386944014,7.011104051651325,0.5509747867425746,Bad,Not Suitable
Clayey,16.246876974871668,3.5889289157671334,7.809468272846329,0.33735019716859427,Good,Biogas Production
Loamy,16.169809936243396,4.098391756983261,6.265028500439066,1.0178609602054614,Good,Land Reclamation
Clayey,17.456920460544538,4.624305530244809,6.479465571839464,0.9997225580895609,Bad,Not Suitable
Sandy,24.42939059333567,4.529515586965664,6.280899699160746,0.5300447183906843,Bad,Not Suitable
Sandy,13.277265616008215,1.7527579308622472,5.802147749239787,1.131045771386642,Bad,Not Suitable
Clayey,28.893773950267267,2.240169463869195,7.505168268385698,0.25450051198497764,Bad,Not Suitable
Sandy,29.056443729605597,2.254881683502089,6.84875065168069,0.39231895661541805,Bad,Not Suitable
Loamy,24.075641010352143,1.8928230923339,6.6015932178209,1.5065522685136419,Bad,Not Suitable
Loamy,16.31533115803382,1.2474993475784655,7.265557947791334,0.6672223041484296,Bad,Not Suitable
Clayey,15.286613999375412,1.9551226359727116,7.797321399903246,1.5106187964281894,Bad,Not Suitable
Sandy Loam,18.4024477486472,1.8336755890610799,6.223341294911335,1.0433816339755522,Bad,Not Suitable
Clayey,16.029691252504268,3.5386698313031824,6.987988703826888,1.8982905070925251,Good,Biogas Production
Sandy,15.275624687841416,2.845912690094134,6.4221856313246155,1.2209560542117475,Bad,Not Suitable
Loamy,16.814684090471808,1.5376682735201679,7.680790906504423,1.9940804572587187,Bad,Not Suitable
Sandy,15.776388149508374,4.1320435068034485,6.413547687731626,1.1575129776059048,Bad,Not Suitable
Clayey,13.896277865286091,4.984540407036777,6.473720930306187,1.4913474230691348,Bad,Not Suitable
Sandy,21.240457173470805,3.351768784060459,6.473593417375121,0.40880536435773174,Bad,Not Suitable
Clayey,12.672869575974946,1.2531973898912523,5.91239602751262,0.14648052461614186,Bad,Not Suitable
Clayey,26.87369986988798,1.5747948040838602,5.8614640599247245,1.990759939365432,Bad,Not Suitable
Clayey,28.594978066274603,3.643606473532727,6.254257415044289,0.25352979989105967,Good,Brick Manufacturing
Sandy Loam,22.481213544002735,1.8497201232985563,6.734507447737688,0.336281742718044,Bad,Not Suitable
Sandy Loam,15.960016705678342,4.365685116407123,7.471567491492567,0.32088870346383214,Bad,Not Suitable
Clayey,25.793738804332627,3.520589409094842,5.7083399126874825,1.0892843673048132,Bad,Not Suitable
Sandy Loam,14.192192536800263,4.3253342572343305,7.133790816402692,0.6378490525931844,Bad,Not Suitable
Loamy,18.835135685362907,4.0486138392078175,5.588246387026059,1.055880443988587,Bad,Not Suitable
Sandy Loam,12.09625336757716,2.4665176476716777,5.807710441301002,0.21373473775296695,Bad,Not Suitable
Loamy,11.970548722604619,2.569538598571515,7.060611920867433,0.6385543250970201,Good,Land Reclamation
Loamy,19.30690575210746,4.805815650355976,7.468244626448108,1.6944181250733419,Good,Land Reclamation
Clayey,18.93026633082148,2.9448517938290375,7.308812852265065,0.4089239287473615,Bad,Not Suitable
Loamy,12.28396086399086,2.84834152841683,7.1702647619626205,1.8316131963021982,Good,Land Reclamation
Sandy Loam,12.29211746658454,3.663408409462931,5.851605728125462,1.9947079606504603,Bad,Not Suitable
Loamy,25.795514265457882,2.297577257192064,7.629198769886118,1.6934447716261762,Bad,Not Suitable
